,Food label,Subs A,Subs B
489,"BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,CHOIC,RAW","BEEF,RND,TOP RND,STEAK,LN,1/8"" FAT,SEL,RAW","BEEF,ASTRLN,GRSSFD,LN,TPSRLN CAPOFF STK/RST,BNLS,LN & FT,RAW"
490,"BEEF,GROUND,PATTIES,FRZ,CKD,BRLD","BEEF,FLANK,STEAK,LN,0"" FAT,CHOIC,RAW","BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW"
491,"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW","BEEF,VAR MEATS&BY-PRODUCTS,SPLEEN,CKD,BRSD","BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,SEL,RAW"
492,"BEEF,VAR MEATS&BY-PRODUCTS,THYMUS,RAW","BEEF,SHLDR POT RST OR STEAK,BNLESS,LN & FAT,0"" FAT,SEL,RAW","BEEF,CHUCK FOR STEW,LN & FAT,CHOIC,CKD,BRSD"
493,"BEEF,VAR MEATS&BY-PRODUCTS,THYMUS,CKD,BRSD","BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,ALL GRDS,RAW","BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,ALL GRDS,CKD,BRSD"
494,"BEEF,VAR MEATS&BY-PRODUCTS,TONGUE,RAW","BEEF,CHK EYE RST,BNL,AMERICA'S BF RST,LN,0"" FAT,ALL GRD, CKD","BEEF,ASTRLN,WAGYU,LN,TNDRLN STK/RST,BNLS,LN,MRB SCR 4/5,RAW"
495,"BEEF,SNDWCH STEAKS,FLAKED,CHOPD,FORMED & THINLY SLICED,RAW","BEEF,GROUND,75% LN MEAT / 25% FAT,CRUMBLES,CKD,PAN-BROWNED","BEEF,PLATE STEAK,BNLESS,INSIDE SKIRT,LN & FAT,0"" FAT,CHOC,RW"
496,"BEEF,BRISKET,FLAT HALF,LN,0"" FAT,CHOIC,CKD,BRSD","BEEF,CHUCK,CLOD RST,LN,0"" FAT,SEL,CKD,RSTD","BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW"
497,"BEEF,CURED,BRKFST STRIPS,RAW OR UNHTD","BEEF,VAR MEATS&BY-PRODUCTS,LIVER,RAW","BEEF,BRISKET,FLAT HALF,LN,1/8"" FAT,ALL GRDS,CKD,BRSD"
498,"BEEF,CURED,BRKFST STRIPS,CKD","BEEF,NZ,IMP,EYE RND,LN,RAW","BEEF,LOIN,TOP SIRLOIN PETITE RST,BNLS,LN,0"" FAT,SEL,CKD,RSTD"
499,"BEEF,CURED,CORNED BF,BRISKET,CKD","BEEF,RND,EYE OF RND STK,BNLESS,L & F,0"" F,A GRDS,CKD,GRILLED","BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,CKD,RSTD"
500,"BEEF,CHUCK,UNDER BLADE CNTR STEAK,BNLESS,DENVER CUT,LN,0"" FA","BF,CHK,CLOD,SHLDR TENDER,MEDALLION,LN & FAT,0"" FAT,SEL,RAW","BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,SEL,CKD,RSTD"
501,"BEEF,CHUCK,UNDER BLADE CNTR STEAK,BNLESS,DENVER CUT,LN,0"" FA","BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,SEL,CKD,RSTD","BEEF,LOIN,TOP SIRLOIN CAP STEAK,BNLESS,LN,1/8"" FAT,CHOIC,RAW"
502,"BEEF,CHUCK,UNDER BLADE CNTR STEAK,BNLESS,DENVER CUT,LN,0"" FA","BEEF,CHUCK,ARM POT RST,LN,0""FAT,SEL,CKD,BRSD","BF,CHK,CLOD,SHLDR TENDER,MEDALLION,LN & FAT,0"" FAT,SEL,RAW"
503,"BEEF,CHUCK,UNDER BLADE CNTR STEAK,BNLESS,DENVER CUT,LN,0"" FA","BEEF,CHUCK,ARM POT RST,LN,0""FAT,SEL,CKD,BRSD","BEEF,LOIN,TOP SIRLOIN CAP STEAK,BNLESS,LN,1/8"" FAT,CHOIC,RAW"
504,"BEEF,CHK,UND BL CNTR STK,BNLESS,DEN CUT,LN,0"" FA, SEL, CKD","BEEF,CHUCK,CLOD RST,LN,0"" FAT,CHOIC,CKD,RSTD","BEEF,NZ,IMP,OYSTER BLADE,LN,CKD,BRSD"
505,"BEEF,COMP OF RTL CUTS,LN&FAT,0""FAT,ALL GRDS,CKD","BEEF,CHUCK FOR STEW,LN & FAT,ALL GRDS,RAW","BEEF,TOP SIRLOIN,STEAK,LN,1/8"" FAT,CHOIC,CKD,BRLD"
506,"BEEF,COMP OF RTL CUTS,LN&FAT,0""FAT,CHOIC,CKD","BEEF,SHRT LN,T-BONE STK,BN-IN,LN,1/8"" FAT,CHOIC,CKD,GRILLD","BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,SEL,RAW"
507,"BEEF,COMP OF RTL CUTS,LN&FAT,0""FAT,SEL,CKD","BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD","BEEF,SHLDR POT RST OR STEAK,BNLESS,LN,0"" FAT,SEL,RAW"
508,"BEEF,BRISKET,FLAT HALF,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD","BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED","BEEF,CHUCK,CLOD RST,LN,1/4"" FAT,ALL GRDS,RAW"
509,"BEEF,BRISKET,POINT HALF,LN,0""FAT,ALL GRDS,CKD,BRSD","BEEF,NZ,IMP,RIBS PREP,CKD,FAST RSTD","BEEF,LOIN,TENDERLOIN STEAK,BNLESS,LN,0"" FAT,SEL,RAW"
510,"BEEF,CHCK,UNDR BLDE POT RST,BNLS,LN & FAT,0"",CHC,CKD,BRSD","BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,SEL,CKD,BRLD","BEEF,CHUCK,UNDER BLADE CNTR STEAK,BNLESS,DENVER CUT,LN,0"" FA"
511,"BEEF,CHUCK,BLADE RST,LN,0""FAT,ALL GRDS,CKD,BRSD","BEEF,FLANK,STEAK,LN & FAT,0"" FAT,ALL GRDS,RAW","BEEF,RND,TOP RND,STEAK,LN,1/8"" FAT,SEL,CKD,BRLD"
512,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,0""FAT,SEL,CKD,RSTD","BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,ALL GRDS,CKD,BRLD","BEEF,RIB EYE STEAK/RST,BONE-IN,LIP-ON,LN,1/8"" FAT,CHOIC,RAW"
513,"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,CHOIC,CKD,RSTD","BEEF,CHK,UND BL POT RST OR STK,BNL,LN & FAT,0"" FAT, CH, RAW","BEEF,TENDERLOIN,STEAK,LN,1/8"" FAT,CHOIC,RAW"
514,"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,ALL GRDS,CKD,BRLD","BEEF,RND,EYE OF RND RST,BNLESS,LN & FT,0"" FAT,CHOIC,CKD,RSTD","BEEF,RIB EYE,SML END (RIBS 10-12),LN,0"" FAT,SEL,RAW"
515,"BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,CHOIC,CKD,RSTD","BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED","BEEF,LOIN,TOP SRLN PETIT RST/FILT,BNLS,LN,0"" FAT,AL GRDS,RAW"
516,"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD","BEEF,ASTRLN,GRSSFD,LN,TPSRLN CAPOFF STK/RST,BNLS,LN & FT,RAW","BEEF,VAR MEATS&BY-PRODUCTS,HEART,RAW"
517,"BEEF,LOIN,TOPLOINSTK,BNLS,LIP OFF,LN FT,0"" FT,CHC,CKD,GRLD","BEEF,CHUCK,TOP BLADE,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD","BEEF,TOP LOIN PETITE ROAST/FILET,BNLESS,LN,1/8"" FAT,SEL,RAW"
518,"BEEF,LOIN,TOPLOINSTK,BNLS,LIP OFF,LN FAT,0"" FT,SEL,CKD,GRLD","BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,RSTD","BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,ALL GRDS,RAW"
519,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRLD","BEEF,BRISKET,WHL,LN,ALL GRDS,RAW","BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW"
520,"BEEF,SHRT LOIN,PRTRHS STK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD","BEEF,NZ,IMP,RUMP CENTRE,LN,RAW","BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD"
521,"BEEF,LOIN,PRTRHS STK,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRLD","BEEF,NZ,IMP,BRISKET NAVAL END,LN,RAW","BF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,SE,CKD,GRILLED"
522,"BEEF,SHRT LOIN,PRTRHS STK,LN & FAT,0"" FAT,USDA SEL,CKD,BRLD","BEEF,CHUCK,CLOD STEAK,LN ONLY,TO 1/4"" FAT,ALL GRDS,CKD,BRSD","BEEF,RND,TIP RND,RST,LN,0"" FAT,SEL,RAW"
523,"BEEF,SHRT LOIN,PRTRHS STEAK,LN,0"" FAT,SEL,CKD,BRLD","BEEF,RND,BTTM RND,STEAK,LN,0"" FAT,SEL,CKD,BRSD","BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED"
524,"BEEF,LOIN,T-BONE STEAK,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRLD","BEEF,TENDERLOIN,STEAK,LN,1/8"" FAT,ALL GRDS,RAW","BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN & FAT,0"" FAT,SEL,RAW"
525,"BEEF,SHRT LOIN,T-BONE STK,LN & FAT,0"" FAT,USDA SEL,CKD,BRLD","BEEF,SHLDR POT RST OR STK,BNLS,LN & FAT,0"" FAT,ALL GRDS,R","BEEF,TOP LOIN FILET,BNLESS,LN & FAT,1/8"" FAT,SEL,CKD,GRILLED"
526,"BEEF,SHRT LN,T-BN STK,BN-IN,LN,1/8"" FAT,ALL GRDS,CKD,GRILLED","BEEF,NZ,IMP,EYE RND,LN,RAW","BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW"
527,"BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED","BEEF,LOIN,TOP SRLN PETIT RST/FILT,BNLS,LN,0"" FAT,AL GRDS,RAW","BEEF,CHUCK,ARM POT RST,LN,1/8"" FAT,CHOIC,RAW"
528,"BEEF,GROUND,70% LN MEAT / 30% FAT,LOAF,CKD,BKD","BEEF,TOP SIRLOIN,STEAK,LN,1/8"" FAT,CHOIC,CKD,BRLD","BEEF,CHUCK,ARM POT RST,LN,0""FAT,CHOIC,CKD,BRSD"
529,"BEEF,GROUND,70% LN MEAT / 30% FAT,PATTY CKD,PAN-BROILED","BEEF,SHLDR POT RST OR STEAK,BNLESS,LN,0"" FAT,SEL,RAW","BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD"
530,"BEEF,GROUND,70% LN MEAT / 30% FAT,PATTY,CKD,BRLD","BF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,SE,CKD,GRILLED","BEEF,NZ,IMP,BRISKET NAVAL END,LN,RAW"
531,"BEEF,GROUND,70% LN MEAT / 30% FAT,RAW","BEEF,VAR MEATS&BY-PRODUCTS,HEART,CKD,SIMMRD","BEEF,CHUCK,UNDER BLADE STEAK,BNLESS,LN & FAT,0"" FAT,ALL GRDS"
532,"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLE","BEEF,CHUCK EYE RST,BNLESS,AMERICA'S BF RST,LN,0"" FAT,SEL,CKD","BEEF,CHCK,UND BL POT RST OR STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW"
533,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,SEL,CKD","BEEF,CHK EYE RST,BNLESS,AMERICA'S BF RST,LN,0"" FAT,CHOIC,CKD","BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,CHOIC,RAW"
534,"BEEF,BRISKET,POINT HALF,LN&FAT,1/8""FAT,ALL GRDS,RAW","BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,ALL GRDS,RAW","BEEF,CHUCK,ARM POT RST,LN,0""FAT,SEL,CKD,BRSD"
535,"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,ALL GRDS,RAW","BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW","BEEF,SHRT LN,T-BN STK,BN-IN,LN,1/8"" FAT,ALL GRDS,CKD,GRILLED"
536,"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,CHOIC,RAW","BEEF,SHRT LOIN,PRTRHS STK,L & F,1/8"" F,SEL,CKD,GRILLED","BEEF,LN,TP LN STK,BNLESS,LIPON,L & F,1/8 FAT,A GRDS, GRILLED"
537,"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD","BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,SEL,RAW","BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRLD"
538,"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,SEL,CKD,BRSD","BEEF,BRISKET,FLAT HALF,LN,1/8"" FAT,SEL,RAW","BEEF,NZ,IMP,TENDERLOIN,LN,RAW"
539,"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD","BEEF,RIBEYE PETITE ROAST/FILET,BNLESS,LN,0"" FAT,CHOIC,RAW","BEEF,BRISKET,FLAT HALF,LN,0"" FAT,CHOIC,CKD,BRSD"
540,"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,CHOIC,RAW","BEEF,TOP SIRLOIN,STEAK,LN,1/8"" FAT,CHOIC,CKD,BRLD","BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,SEL,RAW"
541,"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,SEL,CKD,BRSD","BEEF,SHLDR POT RST,BNLESS,LN,0"" FAT,CHOIC,CKD,BRSD","BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,ALL GRDS,RAW"
542,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,RAW","BEEF,FLANK,STEAK,LN,0"" FAT,CHOIC,CKD,BRLD","BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,SEL,RAW"
543,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD","BEEF,FLANK,STEAK,LN & FAT,0"" FAT,SEL,RAW","BEEF,CHUCK EYE RST,BNLESS,A BF RST,LN & FAT,0"",ALL G,RAW"
544,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD","BEEF,CHK EYE CNTRY-STYLE RIBS,BNL,LN & FAT,0"" FAT,CHOICE,RAW","BEEF,LOIN,TENDERLOIN RST,LN,BNLESS,0"" FAT,SEL,CKD,RSTD"
545,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,RAW","BEEF,RIBEYE PETITE RST,BNLESS,LN,0"" FAT,SEL,CKD,RSTD","BEEF,AUSTRALIAN,GRSSFD,RIB,RIBEYE STK/RST LIP-ON,BNLS,LN,RAW"
546,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD","BEEF,NZ,IMP,KNUCKLE,CKD,FAST FRIED","BEEF,CHUCK,CLOD RST,LN & FAT,0"" FAT,CHOIC,CKD,RSTD"
547,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD","BEEF,GROUND,PATTIES,FRZ,CKD,BRLD","BEEF,FLANK,STEAK,LN,0"" FAT,CHOIC,RAW"
548,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,CKD,BRLD","BEEF,LOIN,TOP SRLN PETIT RST/FILT,BNLS,LN,0"" FAT,AL GRDS,RAW","BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,CHOIC,CKD,RSTD"
549,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,CKD,RSTD","BEEF,NZ,IMP,KIDNEY,CKD,BLD","BEEF,SHRT LOIN,TOP LOIN,STEAK,LN,1/8"" FAT,CHOIC,CKD,BRLD"
550,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,RAW","BEEF,LOIN,TENDERLOIN STEAK,BNLESS,LN,0"" FAT,SEL,RAW","BEEF,BRISKET,FLAT HALF,LN & FAT,0"" FAT,CHOIC,CKD,BRSD"
551,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,CKD,BRLD","BEEF,CHUCK,UNDER BLADE CNTR STEAK,BNLESS,DENVER CUT,LN,0"" FA","BEEF,PLATE,OUTSIDE SKIRT STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD"
552,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,CKD,RSTD","BEEF,RND,BTTM RND,STEAK,LN,1/8"" FAT,SEL,CKD,BRSD","BEEF,LN,TOP LN STK,BNLESS,LIP-ON,LN,1/8"" FAT,SEL,CKD,GRILLD"
553,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,RAW","BEEF,RIB,SHORTRIBS,LN,CHOIC,CKD,BRSD","BEEF,RND,BTTM RND RST,LN,0"" FAT,SEL,CKD,RSTD"
554,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD","BEEF,TENDERLOIN,STEAK,LN,1/8"" FAT,ALL GRDS,CKD,BRLD","BEEF,RIB EYE STEAK/ROAST,BNLESS,LIP-ON,LN,1/8"" FAT,SEL,RAW"
555,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,RAW","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,RAW","BEEF,RIB EYE STEAK,BNLS,LIP OFF,LN & FAT,0"" FAT,CHC,CKD,GRLD"
556,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD","BEEF,RND,TOP RND,STEAK,LN,1/8"" FAT,CHOIC,RAW","BEEF,RIB EYE STK,BNE-IN,LIP-ON,LN,1/8"" FAT,ALL GRDS,CKD,GRLD"
557,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,RAW","BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,SEL,RAW","BEEF,SIRLOIN,TRI-TIP STK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD"
558,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,CKD,BRLD","BEEF,NZ,IMP,FLAT,LN,RAW","BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD"
559,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,CKD,RSTD","BEEF,LOIN,TENDERLOIN RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,RSTD","BEEF,TOP SIRLOIN,STEAK,LN,1/8"" FAT,CHOIC,CKD,BRLD"
560,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,RSTD","BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,CHOIC,RAW","BEEF,RIB EYE,SML END (RIBS 10-12),LN,0"" FAT,SEL,RAW"
561,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,RAW","BEEF,NZ,IMP,LIVER,RAW","BEEF,TOP SIRLOIN,STEAK,LN & FAT,0"" FAT,SEL,CKD,BRLD"
562,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,RAW","BEEF,CHUCK,UNDER BLADE CNTR STEAK,BNLESS,DENVER CUT,LN,0"" FA","BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,ALL GRDS,RAW"
563,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,CKD,BRLD","BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,SEL,RAW","BEEF,LOIN,TOP SIRLON PTIT RST,BLS,LN,0"" FAT,AL GRDS,CKD,RSTD"
564,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,CKD,RSTD","BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,CHOIC,CKD,RSTD","BEEF,NZ,IMP,STRIPLOIN,LN,CKD,FAST FRIED"
565,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,CKD,BRLD","BEEF,GROUND,97% LN MEAT / 3% FAT,LOAF,CKD,BKD","BEEF,SHRT LOIN,PRTRHS STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD"
566,"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,SEL,RAW","BEEF,LOIN,TOP SIRLN CAP STK,BNLS,LN,1/8"" FAT,AL GRDS,CKD,GLD","BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,SEL,RAW"
567,"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,SEL,CKD,BRLD","BEEF,NZ,IMP,FLAT,LN & FAT,RAW","BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW"
568,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRSD","BEEF,BTTM SIRLOIN,TRI-TIP RST,LN,0"" FAT,SEL,RAW","BEEF,NZ,IMP,RUMP CENTRE,LN,RAW"
569,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW","BF,RND,OUTSIDE RND,BTTM RND,STEAK,LN & FAT,0"" FAT,CHOIC,RAW","BEEF,RND,TOP RND,LN&FAT,1/8""FAT,PRIME,RAW"
570,"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD","BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW","BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,SEL,CKD,GRILLED"
571,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,RAW","BEEF,RIB EYE STEAK/ROAST,BONE-IN,LIP-ON,LN,1/8"" FAT,SEL,RAW","BEEF,CHK,MOCK TENDER STK,BNLS,LN,0"" FAT,ALL GRDS,CKD,BRSD"
572,"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,ALL GRDS,RAW","BEEF,LOIN,TOP SIRLOIN FILET,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILD","BEEF,TOP SIRLOIN,STEAK,LN & FAT,0"" FAT,SEL,CKD,BRLD"
573,"BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD","BEEF,SHLDR POT RST OR STEAK,BNLESS,LN,0"" FAT,SEL,RAW","BEEF,NZ,IMP,STRIPLOIN,LN,RAW"
574,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD","BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED","BEEF,TOP LOIN FILET,BNLESS,LN & FAT,1/8"" FAT,SEL,CKD,GRILLED"
575,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRLD","BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,SEL,RAW","BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,CHOIC,RAW"
576,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,CKD,PAN-FRIED","BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,SEL,RAW","BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRLD"
577,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,SEL,RAW","BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,SEL,RAW","BEEF,LOIN,TOP SIRLN CAP STK,BNLS,LN,1/8"" FAT,AL GRDS,CKD,GLD"
578,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,SEL,CKD,BRSD","BF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,SE,CKD,GRILLED","BEEF,SHLDR POT RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,BRSD"
579,"BEEF,SHRT LN,T-BONE STK,L & F,1/8"" FAT,CHOIC,CKD,GRILLED","BEEF,LOIN,TOP SIRLON PETITE RST/FILET,BNLS,LN,0"" FAT,SEL,RAW","BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0"" FAT,SEL,RAW"
580,"BEEF,LOIN,TOP LOIN,LN & FAT,1/8"" FAT,ALL GRDS,CKD,GRILLED","BEEF,GROUND,85% LN MEAT / 15% FAT,LOAF,CKD,BKD","BEEF,PLATE STEAK,BNLESS,INSIDE SKIRT,LN,0"" FAT,SEL,RAW"
581,"BEEF,SHRT LOIN,TOP LN,STK,LN & FAT,1/8"" FAT,CHOIC,CKD,GRLLD","BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,RAW","BEEF,LOIN,TOP SIRLON PTIT RST,BLS,LN,0"" FAT,AL GRDS,CKD,RSTD"
582,"BEEF,LOIN,TOP LOIN,LN & FAT,1/8"" FAT,SEL,RAW","BEEF,NZ,IMP,TRIPE UNCKD,RAW","BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,CKD,RSTD"
583,"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN & FAT,1/8"" FAT,PRIME,RAW","BEEF,NZ,IMP,TENDERLOIN,LN & FAT,RAW","BEEF,CHUCK EYE RST,BNLESS,A BF RST,LN & FAT,0"",ALL G,RAW"
584,"BEEF,TENDERLOIN,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD","BEEF,ASTRLN,GRSFD,RND,TOPRND CAPOFF STK/RST,BNLS,LN & FT,RAW","BEEF,TOP LOIN PETITE ROAST/FILET,BNLESS,LN,1/8"" FAT,SEL,RAW"
585,"BEEF,TENDERLOIN,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD","BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,ALL GRDS,RAW","BEEF,CHUCK,CLOD RST,LN ONLY,TO 1/4"" FAT,ALL GRDS,CKD,RSTD"
